total_purchases,avg_cart_value,total_time_spent,product_click,discount_counts,customer_id,Cluster,Cluster_Name
7.0,129.34,52.17,18.0,0.0,CM00000,1,Bargain Hunters
22.0,24.18,9.19,15.0,7.0,CM00001,0,Window Shoppers
2.0,32.18,90.69,50.0,2.0,CM00002,2,High Spenders
25.0,26.85,11.22,16.0,10.0,CM00003,0,Window Shoppers
7.0,125.45,34.19,30.0,3.0,CM00004,1,Bargain Hunters
12.0,199.56,43.39,20.0,3.0,CM00005,1,Bargain Hunters
23.0,43.48,13.11,12.0,10.0,CM00006,0,Window Shoppers
27.0,46.58,7.2,14.0,7.0,CM00007,0,Window Shoppers
9.0,35.1,9.24,25.0,8.0,CM00008,0,Window Shoppers
30.0,40.69,16.34,21.0,8.0,CM00009,0,Window Shoppers
5.0,62.6,77.2,49.0,2.0,CM00010,2,High Spenders
6.0,60.77,78.66,53.0,4.0,CM00011,2,High Spenders
13.0,105.96,40.82,21.0,6.0,CM00012,1,Bargain Hunters
21.0,26.34,14.85,14.0,7.0,CM00013,0,Window Shoppers
13.0,100.0,28.4,20.0,2.0,CM00014,1,Bargain Hunters
15.0,101.29,51.21,21.0,2.0,CM00015,1,Bargain Hunters
28.0,21.48,5.64,9.0,5.0,CM00016,0,Window Shoppers
15.0,48.23,5.76,19.0,11.0,CM00017,0,Window Shoppers
9.0,167.25,42.02,23.0,2.0,CM00018,1,Bargain Hunters
24.0,42.0,22.01,17.0,9.0,CM00019,0,Window Shoppers
4.0,37.21,97.61,50.0,3.0,CM00020,2,High Spenders
25.0,23.37,25.43,10.0,9.0,CM00021,0,Window Shoppers
22.0,20.49,13.49,16.0,6.0,CM00022,0,Window Shoppers
5.0,53.25,118.66,43.0,0.0,CM00023,2,High Spenders
6.0,55.45,85.37,46.0,0.0,CM00024,2,High Spenders
9.0,167.57,50.32,21.0,2.0,CM00025,1,Bargain Hunters
6.0,29.86,65.17,54.0,0.0,CM00026,2,High Spenders
5.0,196.93,51.28,22.0,3.0,CM00027,1,Bargain Hunters
3.0,71.22,76.43,54.0,2.0,CM00028,2,High Spenders
9.0,180.97,41.96,13.0,4.0,CM00029,1,Bargain Hunters
7.0,177.98,42.14,23.0,1.0,CM00030,1,Bargain Hunters
10.0,159.86,51.02,17.0,0.0,CM00031,1,Bargain Hunters
17.0,13.66,22.08,11.0,9.0,CM00032,0,Window Shoppers
13.0,145.42,36.43,13.0,2.0,CM00033,1,Bargain Hunters
3.0,54.62,89.83,51.0,1.0,CM00034,2,High Spenders
22.0,46.98,26.84,17.0,9.0,CM00035,0,Window Shoppers
12.0,117.71,47.02,9.0,3.0,CM00036,1,Bargain Hunters
7.0,73.25,115.03,63.0,0.0,CM00037,2,High Spenders
12.0,187.29,52.41,20.0,3.0,CM00038,1,Bargain Hunters
24.0,29.22,23.46,21.0,11.0,CM00039,0,Window Shoppers
16.0,45.23,10.94,12.0,12.0,CM00040,0,Window Shoppers
6.0,55.15,60.26,49.0,1.0,CM00041,2,High Spenders
5.0,38.11,99.57,54.0,0.0,CM00042,2,High Spenders
29.0,11.88,14.92,14.0,9.0,CM00043,0,Window Shoppers
22.0,11.48,20.79,16.0,16.0,CM00044,0,Window Shoppers
22.0,18.26,29.67,18.0,10.0,CM00045,0,Window Shoppers
6.0,119.62,42.21,21.0,1.0,CM00046,1,Bargain Hunters
16.0,158.27,57.66,16.0,5.0,CM00047,1,Bargain Hunters
6.0,49.86,80.43,58.0,2.0,CM00048,2,High Spenders
18.0,16.87,17.0,13.0,9.0,CM00049,0,Window Shoppers
8.0,37.37,87.37,37.0,1.0,CM00050,2,High Spenders
12.0,197.09,30.09,20.0,5.0,CM00051,1,Bargain Hunters
4.0,51.23,73.65,58.0,0.0,CM00052,2,High Spenders
19.0,13.42,10.33,11.0,10.0,CM00053,0,Window Shoppers
4.0,45.09,115.76,45.0,0.0,CM00054,2,High Spenders
20.0,21.73,15.23,13.0,10.0,CM00055,0,Window Shoppers
8.0,102.57,27.23,30.0,1.0,CM00056,1,Bargain Hunters
27.0,37.52,28.18,23.0,5.0,CM00057,0,Window Shoppers
4.0,65.22,94.53,51.0,1.0,CM00058,2,High Spenders
6.0,73.75,113.7,58.0,0.0,CM00059,2,High Spenders
2.0,36.53,93.26,50.0,0.0,CM00060,2,High Spenders
8.0,173.02,49.99,9.0,3.0,CM00061,1,Bargain Hunters
22.0,45.44,17.87,14.0,5.0,CM00062,0,Window Shoppers
4.0,144.3,27.95,17.0,1.0,CM00063,1,Bargain Hunters
7.0,35.9,79.72,61.0,0.0,CM00064,2,High Spenders
24.0,44.96,22.56,14.0,11.0,CM00065,0,Window Shoppers
17.0,26.35,22.08,16.0,9.0,CM00066,0,Window Shoppers
18.0,37.9,14.16,9.0,9.0,CM00067,0,Window Shoppers
25.0,43.4,5.29,10.0,10.0,CM00068,0,Window Shoppers
4.0,30.41,83.94,45.0,1.0,CM00069,2,High Spenders
25.0,27.63,29.34,18.0,8.0,CM00070,0,Window Shoppers
15.0,28.13,6.14,19.0,11.0,CM00071,0,Window Shoppers
14.0,42.63,16.09,14.0,12.0,CM00072,0,Window Shoppers
25.0,41.98,10.48,18.0,6.0,CM00073,0,Window Shoppers
8.0,154.89,44.4,18.0,1.0,CM00074,1,Bargain Hunters
16.0,108.61,44.17,20.0,2.0,CM00075,1,Bargain Hunters
6.0,70.91,98.69,50.0,1.0,CM00076,2,High Spenders
8.0,43.91,107.52,56.0,1.0,CM00077,2,High Spenders
3.0,64.42,69.85,43.0,0.0,CM00078,2,High Spenders
9.0,142.64,22.91,20.0,1.0,CM00079,1,Bargain Hunters
9.0,106.2,50.08,19.0,2.0,CM00080,1,Bargain Hunters
7.0,107.12,40.51,16.0,1.0,CM00081,1,Bargain Hunters
10.0,194.59,36.11,22.0,3.0,CM00082,1,Bargain Hunters
5.0,61.2,79.37,50.0,3.0,CM00083,2,High Spenders
12.0,109.66,31.53,15.0,1.0,CM00084,1,Bargain Hunters
18.0,19.81,10.0,5.0,17.0,CM00085,0,Window Shoppers
10.0,143.28,32.48,15.0,1.0,CM00086,1,Bargain Hunters
